id,key,name,type,category,vendor,url,scope_url,topics,evidence_note,checked_at,pass_rate,pass_rate_period,pass_rate_url,pass_rate_checked_at
1,comptia-a-220-1201-1202,CompTIA A+,資格,基礎,CompTIA,https://www.comptia.org/ja-jp/certifications/a/core-1-and-2-v15/,https://www.comptia.org/ja-jp/certifications/a/core-1-and-2-v15/,IT基礎|コンピュータ基礎|OS|ネットワーク基礎|セキュリティ基礎,CompTIA公式ページは、ハードウェア、ソフトウェア、ネットワーク、トラブルシューティング、セキュリティをCore 1/Core 2で扱う。,2026-07-30,,,,
2,comptia-tech-fc0-u71,CompTIA Tech+,資格,基礎,CompTIA,https://www.comptia.org/ja-jp/certifications/tech/,https://www.comptia.org/ja-jp/certifications/tech/,IT基礎|コンピュータ基礎|ネットワーク基礎|セキュリティ基礎,CompTIA公式ページは、コンピューティング、ネットワーク、ソフトウェア、データ、セキュリティの基礎を対象としている。,2026-07-30,,,,
3,jken_system_basic,情報検定（J検）情報システム試験 基本スキル,資格,基礎,一般財団法人職業教育・キャリア教育財団,https://jken.sgec.or.jp/information/jsystem/,https://jken.sgec.or.jp/common/pdf/information/jsystem_kihon.pdf,コンピュータ基礎|OS|プロジェクト管理|ソフトウェア開発,公式範囲は、プロジェクト管理、情報表現、データ構造・論理、CPU・記憶装置、システム構成及び基本ソフトウェアを対象としている。,2026-07-30,53.6,令和7年度（2025年度）,https://jken.sgec.or.jp/data/,2026-08-30
4,jken_use_grade1,情報検定（J検）情報活用試験 1級,資格,基礎,一般財団法人職業教育・キャリア教育財団,https://jken.sgec.or.jp/information/juse/,https://jken.sgec.or.jp/information/juse/,IT基礎|コンピュータ基礎|ネットワーク基礎|セキュリティ基礎,公式範囲は、情報の収集・加工・管理、パソコンシステム、ネットワーク利用、情報社会、情報セキュリティ及びアプリケーションによる問題解決を対象としている。,2026-07-30,40.8,令和7年度（2025年度）,https://jken.sgec.or.jp/data/,2026-08-30
5,jken_use_grade2,情報検定（J検）情報活用試験 2級,資格,基礎,一般財団法人職業教育・キャリア教育財団,https://jken.sgec.or.jp/information/juse/,https://jken.sgec.or.jp/information/juse/,IT基礎|コンピュータ基礎|ネットワーク基礎|セキュリティ基礎|プロジェクト管理|IT戦略|Web,公式範囲は、経営・システム戦略、プロジェクト管理、データ構造、問題解決、コンピュータ、インターネット、セキュリティ及びアプリケーション利用を対象としている。,2026-07-30,37.7,令和7年度（2025年度）,https://jken.sgec.or.jp/data/,2026-08-30
6,jken_use_grade3,情報検定（J検）情報活用試験 3級,資格,基礎,一般財団法人職業教育・キャリア教育財団,https://jken.sgec.or.jp/information/juse/,https://jken.sgec.or.jp/information/juse/,IT基礎|コンピュータ基礎|Web,公式範囲は、情報表現と処理手順、パソコン、インターネット、情報機器、情報社会・モラル及び基本的なアプリケーション操作を対象としている。,2026-07-30,62.8,令和7年度（2025年度）,https://jken.sgec.or.jp/data/,2026-08-30
7,ipa_ip,ITパスポート試験,資格,基礎,独立行政法人情報処理推進機構（IPA）,https://www.ipa.go.jp/shiken/kubun/ip.html,https://www.ipa.go.jp/shiken/syllabus/gaiyou.html,IT基礎|コンピュータ基礎|データベース|ネットワーク基礎|セキュリティ基礎|データ分析|AI基礎|プロジェクト管理|IT戦略,公式の対象者像・シラバスは、コンピュータ、データベース、ネットワーク、情報セキュリティ、データ利活用、AI、開発・運用、企業活動を含むIT共通知識を対象としている。,2026-07-30,48.6,令和7年度,https://www.ipa.go.jp/shiken/reports/ip-oubo2025.html,2026-08-30
8,ipa_ap,応用情報技術者試験,資格,基礎,独立行政法人情報処理推進機構（IPA）,https://www.ipa.go.jp/shiken/kubun/ap.html,https://www.ipa.go.jp/shiken/syllabus/gaiyou.html,コンピュータ基礎|OS|アルゴリズム|ソフトウェア開発|データベース|ネットワーク設計|セキュリティ基礎|システム設計|プロジェクト管理|ITサービス管理|IT戦略|監査,公式シラバスは、技術、システム開発、プロジェクト管理、サービス管理、システム戦略及び監査を横断する応用的知識・技能を対象としている。,2026-07-30,24.5,令和7年度秋期,https://www.ipa.go.jp/news/2025/shiken_20251225.html,2026-08-30
9,ipa_fe,基本情報技術者試験,資格,基礎,独立行政法人情報処理推進機構（IPA）,https://www.ipa.go.jp/shiken/kubun/fe.html,https://www.ipa.go.jp/shiken/syllabus/gaiyou.html,コンピュータ基礎|OS|アルゴリズム|プログラミング|ソフトウェア開発|データベース|ネットワーク基礎|セキュリティ基礎,公式シラバスと科目B範囲は、コンピュータ科学、OS、データベース、ネットワーク、セキュリティ、アルゴリズム及びプログラミングを対象としている。,2026-07-30,38.3,令和7年度,https://www.ipa.go.jp/shiken/reports/ps6vr70000016ew6-att/202603_fe_toukei.pdf,2026-08-30
10,aws-dva-c02,AWS Certified Developer - Associate,資格,プログラミング,Amazon Web Services,https://aws.amazon.com/certification/certified-developer-associate/,https://docs.aws.amazon.com/aws-certification/latest/developer-associate-02/developer-associate-02.html,プログラミング|ソフトウェア開発|クラウド運用|DevOps|セキュリティ基礎,DVA-C02公式ガイドは、AWS上のアプリケーション開発、セキュリティ、デプロイ、トラブルシューティングと最適化を出題領域としている。,2026-07-30,,,,
