source,target,relation,common_count,common_topics,reason,source_evidence_url,target_evidence_url
1,2,official_scope_overlap,4,IT基礎|コンピュータ基礎|ネットワーク基礎|セキュリティ基礎,公式試験範囲で「IT基礎・コンピュータ基礎・ネットワーク基礎・セキュリティ基礎」が共通しているため。,https://www.comptia.org/ja-jp/certifications/a/core-1-and-2-v15/,https://www.comptia.org/ja-jp/certifications/tech/
1,4,official_scope_overlap,4,IT基礎|コンピュータ基礎|ネットワーク基礎|セキュリティ基礎,公式試験範囲で「IT基礎・コンピュータ基礎・ネットワーク基礎・セキュリティ基礎」が共通しているため。,https://www.comptia.org/ja-jp/certifications/a/core-1-and-2-v15/,https://jken.sgec.or.jp/information/juse/
1,5,official_scope_overlap,4,IT基礎|コンピュータ基礎|ネットワーク基礎|セキュリティ基礎,公式試験範囲で「IT基礎・コンピュータ基礎・ネットワーク基礎・セキュリティ基礎」が共通しているため。,https://www.comptia.org/ja-jp/certifications/a/core-1-and-2-v15/,https://jken.sgec.or.jp/information/juse/
1,7,official_scope_overlap,4,IT基礎|コンピュータ基礎|ネットワーク基礎|セキュリティ基礎,公式試験範囲で「IT基礎・コンピュータ基礎・ネットワーク基礎・セキュリティ基礎」が共通しているため。,https://www.comptia.org/ja-jp/certifications/a/core-1-and-2-v15/,https://www.ipa.go.jp/shiken/syllabus/gaiyou.html
1,9,official_scope_overlap,4,コンピュータ基礎|OS|ネットワーク基礎|セキュリティ基礎,公式試験範囲で「コンピュータ基礎・OS・ネットワーク基礎・セキュリティ基礎」が共通しているため。,https://www.comptia.org/ja-jp/certifications/a/core-1-and-2-v15/,https://www.ipa.go.jp/shiken/syllabus/gaiyou.html
1,137,official_scope_overlap,4,コンピュータ基礎|OS|ネットワーク基礎|セキュリティ基礎,公式試験範囲で「コンピュータ基礎・OS・ネットワーク基礎・セキュリティ基礎」が共通しているため。,https://www.comptia.org/ja-jp/certifications/a/core-1-and-2-v15/,https://www.comptia.org/en-us/certifications/server/
1,8,official_scope_overlap,3,コンピュータ基礎|OS|セキュリティ基礎,公式試験範囲で「コンピュータ基礎・OS・セキュリティ基礎」が共通しているため。,https://www.comptia.org/ja-jp/certifications/a/core-1-and-2-v15/,https://www.ipa.go.jp/shiken/syllabus/gaiyou.html
1,33,official_scope_overlap,3,OS|ネットワーク基礎|セキュリティ基礎,公式試験範囲で「OS・ネットワーク基礎・セキュリティ基礎」が共通しているため。,https://www.comptia.org/ja-jp/certifications/a/core-1-and-2-v15/,https://linuc.org/linuc1/range/
1,3,official_scope_overlap,2,コンピュータ基礎|OS,公式試験範囲で「コンピュータ基礎・OS」が共通しているため。,https://www.comptia.org/ja-jp/certifications/a/core-1-and-2-v15/,https://jken.sgec.or.jp/common/pdf/information/jsystem_kihon.pdf
1,6,official_scope_overlap,2,IT基礎|コンピュータ基礎,公式試験範囲で「IT基礎・コンピュータ基礎」が共通しているため。,https://www.comptia.org/ja-jp/certifications/a/core-1-and-2-v15/,https://jken.sgec.or.jp/information/juse/
